Model,Dataset,Accuracy,Precision,Recall,F1-score
Logistic Regression,Primary Dataset,0.9796539961013645,0.9778345131716375,0.9833119383825417,0.9805655766321424
Random Forest,Primary Dataset,0.9820906432748538,0.982957861561807,0.9827284397245887,0.9828431372549019
SVM,Primary Dataset,0.9831262183235867,0.9815331010452961,0.9862294316723071,0.9838756621456429
